CLI,CLI_t-1,CLI_t-2,y1,y2,y3,y4,y5,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2
-0.25,-0.13,0.03,1.670942647,-0.033711952,1.4306,0.09632,-0.0372,1.771004857,0.033219006,1.4648,0.85174,0.0561,1.720298435,0.064892673,1.4311,0.31188,-0.0205
-0.32,-0.25,-0.13,1.567593064,-0.117193062,1.3118,-0.16832,0.0477,1.670942647,-0.033711952,1.4306,0.09632,-0.0372,1.771004857,0.033219006,1.4648,0.85174,0.0561
-0.34,-0.32,-0.25,1.433784752,-0.1127849,1.1976,-1.02919,0.0262,1.567593064,-0.117193062,1.3118,-0.16832,0.0477,1.670942647,-0.033711952,1.4306,0.09632,-0.0372
-0.32,-0.34,-0.32,1.143096279,0.041790677,1.2399,-1.02568,-0.0316,1.433784752,-0.1127849,1.1976,-1.02919,0.0262,1.567593064,-0.117193062,1.3118,-0.16832,0.0477
-0.24,-0.32,-0.34,0.943639045,0.125267345,1.3668,0.91408,0.0024,1.143096279,0.041790677,1.2399,-1.02568,-0.0316,1.433784752,-0.1127849,1.1976,-1.02919,0.0262
-0.16,-0.24,-0.32,0.828045255,0.114370462,1.4828,0.40104,0.0061,0.943639045,0.125267345,1.3668,0.91408,0.0024,1.143096279,0.041790677,1.2399,-1.02568,-0.0316
-0.07,-0.16,-0.24,0.718247474,0.079390803,1.5634,-0.37491,-0.013,0.828045255,0.114370462,1.4828,0.40104,0.0061,0.943639045,0.125267345,1.3668,0.91408,0.0024
0.01,-0.07,-0.16,0.694315961,0.03071501,1.5946,-0.53878,-0.0301,0.718247474,0.079390803,1.5634,-0.37491,-0.013,0.828045255,0.114370462,1.4828,0.40104,0.0061
0.04,0.01,-0.07,0.696694286,0.035527073,1.6307,-0.3075,0.0412,0.694315961,0.03071501,1.5946,-0.53878,-0.0301,0.718247474,0.079390803,1.5634,-0.37491,-0.013
0,0.04,0.01,0.706137613,0.03010448,1.6613,0.90838,-0.0374,0.696694286,0.035527073,1.6307,-0.3075,0.0412,0.694315961,0.03071501,1.5946,-0.53878,-0.0301
-0.06,0,0.04,0.717381049,0.045139735,1.7072,1.59852,0.0094,0.706137613,0.03010448,1.6613,0.90838,-0.0374,0.696694286,0.035527073,1.6307,-0.3075,0.0412
-0.1,-0.06,0,0.689360561,0.084226008,1.7929,0.87063,0.0159,0.717381049,0.045139735,1.7072,1.59852,0.0094,0.706137613,0.03010448,1.6613,0.90838,-0.0374
-0.16,-0.1,-0.06,0.63754114,0.045866942,1.8396,0.74605,-0.0037,0.689360561,0.084226008,1.7929,0.87063,0.0159,0.717381049,0.045139735,1.7072,1.59852,0.0094
-0.17,-0.16,-0.1,0.5192373,-0.013551639,1.8258,-0.14644,-0.0121,0.63754114,0.045866942,1.8396,0.74605,-0.0037,0.689360561,0.084226008,1.7929,0.87063,0.0159
-0.13,-0.17,-0.16,0.439298974,-0.038013309,1.7871,0.27428,-0.017,0.5192373,-0.013551639,1.8258,-0.14644,-0.0121,0.63754114,0.045866942,1.8396,0.74605,-0.0037
-0.09,-0.13,-0.17,0.368615155,-0.042647109,1.7437,0.83949,0.0151,0.439298974,-0.038013309,1.7871,0.27428,-0.017,0.5192373,-0.013551639,1.8258,-0.14644,-0.0121
-0.02,-0.09,-0.13,0.282192897,-0.025361051,1.7179,0.00355,-0.0712,0.368615155,-0.042647109,1.7437,0.83949,0.0151,0.439298974,-0.038013309,1.7871,0.27428,-0.017
0.01,-0.02,-0.09,0.266453908,-0.110661209,1.6054,-0.09716,-0.0135,0.282192897,-0.025361051,1.7179,0.00355,-0.0712,0.368615155,-0.042647109,1.7437,0.83949,0.0151
