CLI,CLI_t-1,CLI_t-2_stock removed,y1,y2,y3,y4,y5,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2,CLI_t-3_stock removed,CLI_t-4_stock removed
0.04,0.01,-0.013805229,0.035527073,1.6307,-0.3075,0.0412,-0.002236991,0.03071501,1.5946,-0.53878,-0.0301,-0.011594174,0.079390803,1.5634,-0.37491,-0.013,0.034902631,0.02290379,0.022736788
0,0.04,0.033966828,0.03010448,1.6613,0.90838,-0.0374,0.036284988,0.035527073,1.6307,-0.3075,0.0412,-0.002236991,0.03071501,1.5946,-0.53878,-0.0301,-0.011594174,-0.013805229,0.02290379
-0.06,0,0.041256989,0.045139735,1.7072,1.59852,0.0094,0.004797909,0.03010448,1.6613,0.90838,-0.0374,0.036284988,0.035527073,1.6307,-0.3075,0.0412,-0.002236991,0.033966828,-0.013805229
-0.1,-0.06,-0.00918311,0.084226008,1.7929,0.87063,0.0159,-0.013914259,0.045139735,1.7072,1.59852,0.0094,0.004797909,0.03010448,1.6613,0.90838,-0.0374,0.036284988,0.041256989,0.033966828
-0.16,-0.1,-0.044296383,0.045866942,1.8396,0.74605,-0.0037,-0.030810834,0.084226008,1.7929,0.87063,0.0159,-0.013914259,0.045139735,1.7072,1.59852,0.0094,0.004797909,-0.00918311,0.041256989
-0.17,-0.16,0.006908828,-0.013551639,1.8258,-0.14644,-0.0121,0.038918782,0.045866942,1.8396,0.74605,-0.0037,-0.030810834,0.084226008,1.7929,0.87063,0.0159,-0.013914259,-0.044296383,-0.00918311
-0.13,-0.17,0.024905002,-0.038013309,1.7871,0.27428,-0.017,-0.013488812,-0.013551639,1.8258,-0.14644,-0.0121,0.038918782,0.045866942,1.8396,0.74605,-0.0037,-0.030810834,0.006908828,-0.044296383
-0.09,-0.13,-0.039712446,-0.042647109,1.7437,0.83949,0.0151,-0.026582196,-0.038013309,1.7871,0.27428,-0.017,-0.013488812,-0.013551639,1.8258,-0.14644,-0.0121,0.038918782,0.024905002,0.006908828
-0.02,-0.09,0.040544188,-0.025361051,1.7179,0.00355,-0.0712,0.068959478,-0.042647109,1.7437,0.83949,0.0151,-0.026582196,-0.038013309,1.7871,0.27428,-0.017,-0.013488812,-0.039712446,0.024905002
0.01,-0.02,0.15565333,-0.110661209,1.6054,-0.09716,-0.0135,0.081101159,-0.025361051,1.7179,0.00355,-0.0712,0.068959478,-0.042647109,1.7437,0.83949,0.0151,-0.026582196,0.040544188,-0.039712446
0.02,0.01,0.096355952,-0.171298954,1.4315,-0.00156,-0.0196,0.014110422,-0.110661209,1.6054,-0.09716,-0.0135,0.081101159,-0.025361051,1.7179,0.00355,-0.0712,0.068959478,0.15565333,0.040544188
0.03,0.02,0.009996508,-0.157471491,1.2719,0.12109,-0.0403,-0.004056673,-0.171298954,1.4315,-0.00156,-0.0196,0.014110422,-0.110661209,1.6054,-0.09716,-0.0135,0.081101159,0.096355952,0.15565333
0.02,0.03,0.030155405,-0.083374746,1.1875,0.03856,-0.0022,0.03435143,-0.157471491,1.2719,0.12109,-0.0403,-0.004056673,-0.171298954,1.4315,-0.00156,-0.0196,0.014110422,0.009996508,0.096355952
-0.05,0.02,0.039558659,0.003755334,1.1913,0.96038,-0.0143,0.005034294,-0.083374746,1.1875,0.03856,-0.0022,0.03435143,-0.157471491,1.2719,0.12109,-0.0403,-0.004056673,0.030155405,0.009996508
-0.1,-0.05,0.051602594,0.075077081,1.2673,-0.21936,0.0293,0.046335036,0.003755334,1.1913,0.96038,-0.0143,0.005034294,-0.083374746,1.1875,0.03856,-0.0022,0.03435143,0.039558659,0.030155405
-0.15,-0.1,0.096223414,0.096924099,1.3655,-0.06745,-0.0241,0.047679163,0.075077081,1.2673,-0.21936,0.0293,0.046335036,0.003755334,1.1913,0.96038,-0.0143,0.005034294,0.051602594,0.039558659
-0.2,-0.15,0.057700707,0.108459346,1.4755,0.17645,-0.0437,0.009565471,0.096924099,1.3655,-0.06745,-0.0241,0.047679163,0.075077081,1.2673,-0.21936,0.0293,0.046335036,0.096223414,0.051602594
-0.22,-0.2,-0.064952915,-0.003547717,1.4719,0.99601,0.0115,-0.073812336,0.108459346,1.4755,0.17645,-0.0437,0.009565471,0.096924099,1.3655,-0.06745,-0.0241,0.047679163,0.057700707,0.096223414
-0.16,-0.22,-0.07192253,-0.049286869,1.4219,0.08594,-0.0368,0.002040414,-0.003547717,1.4719,0.99601,0.0115,-0.073812336,0.108459346,1.4755,0.17645,-0.0437,0.009565471,-0.064952915,0.057700707
-0.13,-0.16,0.071553213,-0.025244283,1.3963,-0.00233,0.015,0.069371253,-0.049286869,1.4219,0.08594,-0.0368,0.002040414,-0.003547717,1.4719,0.99601,0.0115,-0.073812336,-0.07192253,-0.064952915
-0.11,-0.13,0.073587596,-0.018148265,1.3779,0.04658,-0.0181,0.003942824,-0.025244283,1.3963,-0.00233,0.015,0.069371253,-0.049286869,1.4219,0.08594,-0.0368,0.002040414,0.071553213,-0.07192253
-0.09,-0.11,-0.026099641,-0.066308616,1.3107,-0.04915,-0.0198,-0.029924478,-0.018148265,1.3779,0.04658,-0.0181,0.003942824,-0.025244283,1.3963,-0.00233,0.015,0.069371253,0.073587596,0.071553213
-0.03,-0.09,-0.050389475,-0.062105517,1.2478,0.16754,-0.0394,-0.021096293,-0.066308616,1.3107,-0.04915,-0.0198,-0.029924478,-0.018148265,1.3779,0.04658,-0.0181,0.003942824,-0.026099641,0.073587596
0.03,-0.03,-0.045996459,-0.033389015,1.214,-0.05932,0.046,-0.025436788,-0.062105517,1.2478,0.16754,-0.0394,-0.021096293,-0.066308616,1.3107,-0.04915,-0.0198,-0.029924478,-0.050389475,-0.026099641
0.05,0.03,-0.007987564,-0.084707948,1.1283,-0.06315,-0.0189,0.017904661,-0.033389015,1.214,-0.05932,0.046,-0.025436788,-0.062105517,1.2478,0.16754,-0.0394,-0.021096293,-0.045996459,-0.050389475
0.01,0.05,0.084717749,-0.123285789,1.0037,-0.18127,0.0055,0.065637865,-0.084707948,1.1283,-0.06315,-0.0189,0.017904661,-0.033389015,1.214,-0.05932,0.046,-0.025436788,-0.007987564,-0.045996459
-0.06,0.01,0.058880956,-0.21834903,0.7834,-0.02722,-0.0407,-0.006340717,-0.123285789,1.0037,-0.18127,0.0055,0.065637865,-0.084707948,1.1283,-0.06315,-0.0189,0.017904661,0.084717749,-0.007987564
-0.13,-0.06,-0.076535017,-0.393496588,0.3876,0.03084,-0.0175,-0.070642222,-0.21834903,0.7834,-0.02722,-0.0407,-0.006340717,-0.123285789,1.0037,-0.18127,0.0055,0.065637865,0.058880956,0.084717749
-0.17,-0.13,-0.118922956,-0.432371126,-0.04551,-0.06547,-0.0338,-0.051950643,-0.393496588,0.3876,0.03084,-0.0175,-0.070642222,-0.21834903,0.7834,-0.02722,-0.0407,-0.006340717,-0.076535017,0.058880956
-0.18,-0.17,-0.046997912,-0.283269563,-0.32825,-0.88901,-0.0281,0.005224127,-0.432371126,-0.04551,-0.06547,-0.0338,-0.051950643,-0.393496588,0.3876,0.03084,-0.0175,-0.070642222,-0.118922956,-0.076535017
-0.18,-0.18,0.004162506,-0.068096632,-0.3961,-0.38105,-0.03,-0.001056104,-0.283269563,-0.32825,-0.88901,-0.0281,0.005224127,-0.432371126,-0.04551,-0.06547,-0.0338,-0.051950643,-0.046997912,-0.118922956
-0.13,-0.18,0.034518208,0.042358846,-0.3539,0.20059,-0.0383,0.035611922,-0.068096632,-0.3961,-0.38105,-0.03,-0.001056104,-0.283269563,-0.32825,-0.88901,-0.0281,0.005224127,0.004162506,-0.046997912
-0.03,-0.13,0.008113142,0.091772809,-0.26241,0.12917,-0.0052,-0.026553171,0.042358846,-0.3539,0.20059,-0.0383,0.035611922,-0.068096632,-0.3961,-0.38105,-0.03,-0.001056104,0.034518208,0.004162506
0.11,-0.03,0.052797949,0.256804722,-0.00595,-0.71555,-0.0995,0.081515618,0.091772809,-0.26241,0.12917,-0.0052,-0.026553171,0.042358846,-0.3539,0.20059,-0.0383,0.035611922,0.008113142,0.034518208
0.23,0.11,0.162899129,0.377558856,0.3723,-0.83252,0.0408,0.075249502,0.256804722,-0.00595,-0.71555,-0.0995,0.081515618,0.091772809,-0.26241,0.12917,-0.0052,-0.026553171,0.052797949,0.008113142
0.26,0.23,0.103500737,0.140278938,0.5132,-0.44788,0.0625,0.026274121,0.377558856,0.3723,-0.83252,0.0408,0.075249502,0.256804722,-0.00595,-0.71555,-0.0995,0.081515618,0.162899129,0.052797949
0.28,0.26,0.017762126,-0.009153446,0.504,-0.4497,-0.0656,-0.008294075,0.140278938,0.5132,-0.44788,0.0625,0.026274121,0.377558856,0.3723,-0.83252,0.0408,0.075249502,0.103500737,0.162899129
0.27,0.28,-0.007571688,-0.045381624,0.4584,-0.26678,0.0387,0.000728429,-0.009153446,0.504,-0.4497,-0.0656,-0.008294075,0.140278938,0.5132,-0.44788,0.0625,0.026274121,0.017762126,0.103500737
0.26,0.27,0.014753725,-0.062632592,0.3955,-0.16868,0.0192,0.014015088,-0.045381624,0.4584,-0.26678,0.0387,0.000728429,-0.009153446,0.504,-0.4497,-0.0656,-0.008294075,-0.007571688,0.017762126
0.24,0.26,0.042228163,-0.044932425,0.3504,-0.19652,0.019,0.027823131,-0.062632592,0.3955,-0.16868,0.0192,0.014015088,-0.045381624,0.4584,-0.26678,0.0387,0.000728429,0.014753725,-0.007571688
0.16,0.24,0.036384797,-0.056218864,0.294,-0.59916,0.0629,0.008329901,-0.044932425,0.3504,-0.19652,0.019,0.027823131,-0.062632592,0.3955,-0.16868,0.0192,0.014015088,0.042228163,0.014753725
0.06,0.16,-0.007552119,-0.184927701,0.1087,0.12415,-0.0044,-0.015750818,-0.056218864,0.294,-0.59916,0.0629,0.008329901,-0.044932425,0.3504,-0.19652,0.019,0.027823131,0.036384797,0.042228163
-0.03,0.06,-0.044646892,-0.262459204,-0.1537,0.07154,0.0267,-0.029358495,-0.184927701,0.1087,0.12415,-0.0044,-0.015750818,-0.056218864,0.294,-0.59916,0.0629,0.008329901,-0.007552119,0.036384797
-0.05,-0.03,-0.066011257,-0.1904838,-0.34371,0.3186,-0.0316,-0.03776138,-0.262459204,-0.1537,0.07154,0.0267,-0.029358495,-0.184927701,0.1087,0.12415,-0.0044,-0.015750818,-0.044646892,-0.007552119
-0.03,-0.05,0.00602592,-0.057393678,-0.40089,-0.13064,-0.0355,0.045505656,-0.1904838,-0.34371,0.3186,-0.0316,-0.03776138,-0.262459204,-0.1537,0.07154,0.0267,-0.029358495,-0.066011257,-0.044646892
0.02,-0.03,0.055098696,0.095266704,-0.30596,-0.29742,0.004,0.009175503,-0.057393678,-0.40089,-0.13064,-0.0355,0.045505656,-0.1904838,-0.34371,0.3186,-0.0316,-0.03776138,0.00602592,-0.066011257
0.04,0.02,-0.009899829,0.164348127,-0.14198,0.25014,0.0276,-0.018901898,0.095266704,-0.30596,-0.29742,0.004,0.009175503,-0.057393678,-0.40089,-0.13064,-0.0355,0.045505656,0.055098696,0.00602592
0,0.04,0.002412263,0.09641046,-0.04566,-0.01562,0.0258,0.021724801,0.164348127,-0.14198,0.25014,0.0276,-0.018901898,0.095266704,-0.30596,-0.29742,0.004,0.009175503,-0.009899829,0.055098696
-0.13,0,0.082998207,0.004772065,-0.04089,-0.54583,0.0809,0.059970558,0.09641046,-0.04566,-0.01562,0.0258,0.021724801,0.164348127,-0.14198,0.25014,0.0276,-0.018901898,0.002412263,-0.009899829
-0.27,-0.13,0.021569917,-0.099780544,-0.14058,-0.05822,-0.0381,-0.036228025,0.004772065,-0.04089,-0.54583,0.0809,0.059970558,0.09641046,-0.04566,-0.01562,0.0258,0.021724801,0.082998207,0.002412263
-0.36,-0.27,-0.095874401,-0.195896875,-0.33601,0.15167,-0.0508,-0.061888473,-0.099780544,-0.14058,-0.05822,-0.0381,-0.036228025,0.004772065,-0.04089,-0.54583,0.0809,0.059970558,0.021569917,0.082998207
-0.31,-0.36,-0.099956878,-0.221237106,-0.55626,0.20975,-0.071,-0.040579828,-0.195896875,-0.33601,0.15167,-0.0508,-0.061888473,-0.099780544,-0.14058,-0.05822,-0.0381,-0.036228025,-0.095874401,0.021569917
-0.19,-0.31,0.003748089,-0.190358951,-0.74538,-0.37491,0.0029,0.04620282,-0.221237106,-0.55626,0.20975,-0.071,-0.040579828,-0.195896875,-0.33601,0.15167,-0.0508,-0.061888473,-0.099956878,-0.095874401
-0.04,-0.19,0.1036582,-0.063644491,-0.80853,-1.64382,0.0593,0.054918013,-0.190358951,-0.74538,-0.37491,0.0029,0.04620282,-0.221237106,-0.55626,0.20975,-0.071,-0.040579828,0.003748089,-0.099956878
0.1,-0.04,0.106225901,0.129564274,-0.67993,-1.12636,-0.0499,0.048636848,-0.063644491,-0.80853,-1.64382,0.0593,0.054918013,-0.190358951,-0.74538,-0.37491,0.0029,0.04620282,0.1036582,0.003748089
0.18,0.1,0.073794823,0.151908215,-0.52894,-0.03579,0.0417,0.023991122,0.129564274,-0.67993,-1.12636,-0.0499,0.048636848,-0.063644491,-0.80853,-1.64382,0.0593,0.054918013,0.106225901,0.1036582
0.21,0.18,0.028519616,0.070206832,-0.45908,-0.24769,0.0274,0.004422395,0.151908215,-0.52894,-0.03579,0.0417,0.023991122,0.129564274,-0.67993,-1.12636,-0.0499,0.048636848,0.073794823,0.106225901
0.22,0.21,0.02237762,-0.001255773,-0.46033,-0.75277,0.0408,0.017876169,0.070206832,-0.45908,-0.24769,0.0274,0.004422395,0.151908215,-0.52894,-0.03579,0.0417,0.023991122,0.028519616,0.073794823
0.22,0.22,0.038237063,-0.008238261,-0.46853,-0.19893,0.0312,0.020003311,-0.001255773,-0.46033,-0.75277,0.0408,0.017876169,0.070206832,-0.45908,-0.24769,0.0274,0.004422395,0.02237762,0.028519616
0.2,0.22,-0.000957581,-0.025733866,-0.49414,-0.00814,0.0458,-0.020549827,-0.008238261,-0.46853,-0.19893,0.0312,0.020003311,-0.001255773,-0.46033,-0.75277,0.0408,0.017876169,0.038237063,0.02237762
0.19,0.2,-0.023079856,-0.112800675,-0.60632,0.02048,0.0175,-0.002583112,-0.025733866,-0.49414,-0.00814,0.0458,-0.020549827,-0.008238261,-0.46853,-0.19893,0.0312,0.020003311,-0.000957581,0.038237063
0.16,0.19,0.013126362,-0.157236156,-0.76248,-0.09257,-0.0183,0.015750158,-0.112800675,-0.60632,0.02048,0.0175,-0.002583112,-0.025733866,-0.49414,-0.00814,0.0458,-0.020549827,-0.023079856,-0.000957581
0.16,0.16,0.007282622,-0.127008421,-0.88844,0.05185,-0.0442,-0.008336239,-0.157236156,-0.76248,-0.09257,-0.0183,0.015750158,-0.112800675,-0.60632,0.02048,0.0175,-0.002583112,0.013126362,-0.023079856
0.15,0.16,0.050294331,-0.047876713,-0.93588,-0.08949,0.0721,0.059123437,-0.127008421,-0.88844,0.05185,-0.0442,-0.008336239,-0.157236156,-0.76248,-0.09257,-0.0183,0.015750158,0.007282622,0.013126362
0.11,0.15,0.062169217,0.022356756,-0.91373,0.04581,0.0263,0.002875756,-0.047876713,-0.93588,-0.08949,0.0721,0.059123437,-0.127008421,-0.88844,0.05185,-0.0442,-0.008336239,0.050294331,0.007282622
0.05,0.11,0.035064954,0.094468963,-0.82008,-0.14625,-0.0603,0.032096895,0.022356756,-0.91373,0.04581,0.0263,0.002875756,-0.047876713,-0.93588,-0.08949,0.0721,0.059123437,0.062169217,0.050294331
0,0.05,0.027618345,0.176482755,-0.64489,-0.20602,0.0434,-0.004339273,0.094468963,-0.82008,-0.14625,-0.0603,0.032096895,0.022356756,-0.91373,0.04581,0.0263,0.002875756,0.035064954,0.062169217
-0.05,0,0.060327778,0.308606567,-0.3378,-0.22479,-0.0116,0.064948883,0.176482755,-0.64489,-0.20602,0.0434,-0.004339273,0.094468963,-0.82008,-0.14625,-0.0603,0.032096895,0.027618345,0.035064954
-0.09,-0.05,0.102746167,0.320620257,-0.01775,0.06064,0.027,0.035492112,0.308606567,-0.3378,-0.22479,-0.0116,0.064948883,0.176482755,-0.64489,-0.20602,0.0434,-0.004339273,0.060327778,0.027618345
-0.15,-0.09,0.024963112,0.218549841,0.201,-0.18017,0.0277,-0.010168112,0.320620257,-0.01775,0.06064,0.027,0.035492112,0.308606567,-0.3378,-0.22479,-0.0116,0.064948883,0.102746167,0.060327778
-0.18,-0.15,-0.065623288,0.146996228,0.3484,-0.0357,-0.0218,-0.056024843,0.218549841,0.201,-0.18017,0.0277,-0.010168112,0.320620257,-0.01775,0.06064,0.027,0.035492112,0.024963112,0.102746167
-0.17,-0.18,-0.078160224,0.153944688,0.503,0.06223,-0.0208,-0.023449114,0.146996228,0.3484,-0.0357,-0.0218,-0.056024843,0.218549841,0.201,-0.18017,0.0277,-0.010168112,-0.065623288,0.024963112
-0.12,-0.17,-0.036457612,0.155893666,0.6598,-0.06254,0.0575,-0.013320861,0.153944688,0.503,0.06223,-0.0208,-0.023449114,0.146996228,0.3484,-0.0357,-0.0218,-0.056024843,-0.078160224,-0.065623288
-0.07,-0.12,-0.048099341,0.128072389,0.7888,-0.03941,0.0214,-0.035248014,0.155893666,0.6598,-0.06254,0.0575,-0.013320861,0.153944688,0.503,0.06223,-0.0208,-0.023449114,-0.036457612,-0.078160224
-0.05,-0.07,-0.017047406,0.091436602,0.881,0.07851,-0.0377,0.018865582,0.128072389,0.7888,-0.03941,0.0214,-0.035248014,0.155893666,0.6598,-0.06254,0.0575,-0.013320861,-0.048099341,-0.036457612
-0.03,-0.05,0.066487138,0.098978567,0.9809,0.31108,0.0953,0.046739782,0.091436602,0.881,0.07851,-0.0377,0.018865582,0.128072389,0.7888,-0.03941,0.0214,-0.035248014,-0.017047406,-0.048099341
-0.07,-0.03,0.020343391,0.071572079,1.0532,0.19066,-0.0304,-0.025217721,0.098978567,0.9809,0.31108,0.0953,0.046739782,0.091436602,0.881,0.07851,-0.0377,0.018865582,0.066487138,-0.017047406
-0.09,-0.07,-0.041443607,0.02434065,1.0778,0.20659,0.0067,-0.016645651,0.071572079,1.0532,0.19066,-0.0304,-0.025217721,0.098978567,0.9809,0.31108,0.0953,0.046739782,0.020343391,0.066487138
-0.11,-0.09,-0.003707193,-0.018700216,1.0589,0.15066,0.0201,0.013157473,0.02434065,1.0778,0.20659,0.0067,-0.016645651,0.071572079,1.0532,0.19066,-0.0304,-0.025217721,-0.041443607,0.020343391
-0.11,-0.11,-0.006612611,-0.028205353,1.0304,0.30149,0.0217,-0.019513338,-0.018700216,1.0589,0.15066,0.0201,0.013157473,0.02434065,1.0778,0.20659,0.0067,-0.016645651,-0.003707193,-0.041443607
-0.07,-0.11,-0.01897069,-0.047323688,0.9826,0.21093,-0.0233,0.000553448,-0.028205353,1.0304,0.30149,0.0217,-0.019513338,-0.018700216,1.0589,0.15066,0.0201,0.013157473,-0.006612611,-0.003707193
-0.03,-0.07,0.008278188,-0.124256976,0.8572,0.16613,0.0412,0.007720467,-0.047323688,0.9826,0.21093,-0.0233,0.000553448,-0.028205353,1.0304,0.30149,0.0217,-0.019513338,-0.01897069,-0.006612611
0,-0.03,0.016492558,-0.136622954,0.7195,-0.07837,-0.0249,0.008704885,-0.124256976,0.8572,0.16613,0.0412,0.007720467,-0.047323688,0.9826,0.21093,-0.0233,0.000553448,0.008278188,-0.01897069
0.03,0,0.048072979,-0.04230463,0.6769,0.01079,-0.0374,0.039028357,-0.136622954,0.7195,-0.07837,-0.0249,0.008704885,-0.124256976,0.8572,0.16613,0.0412,0.007720467,0.016492558,0.008278188
