CLI,CLI_t-1,CLI_t-2,y1,y2,y3,y4,y5,y6,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y6_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2,y6_t-2
0.42,0.4,0.47,0.47,0.052472198,1.223,-0.87799,0.0136,4.89866245,0.35,0.032425967,1.1699,-0.20866,0.0857,8.501510773,0.25,-0.013347327,1.1371,-0.30336,-0.0141,7.588864059
0.41,0.42,0.4,0.4,0.057677761,1.2814,-0.18323,-0.0132,-1.727985845,0.47,0.052472198,1.223,-0.87799,0.0136,4.89866245,0.35,0.032425967,1.1699,-0.20866,0.0857,8.501510773
0.34,0.41,0.42,0.42,0.032281073,1.3141,-0.96305,0.0513,8.958558578,0.4,0.057677761,1.2814,-0.18323,-0.0132,-1.727985845,0.47,0.052472198,1.223,-0.87799,0.0136,4.89866245
0.2,0.34,0.41,0.41,0.050523143,1.3653,0.06816,0.0094,5.449312709,0.42,0.032281073,1.3141,-0.96305,0.0513,8.958558578,0.4,0.057677761,1.2814,-0.18323,-0.0132,-1.727985845
0.03,0.2,0.34,0.34,0.064892673,1.4311,0.31188,-0.0205,4.454229282,0.41,0.050523143,1.3653,0.06816,0.0094,5.449312709,0.42,0.032281073,1.3141,-0.96305,0.0513,8.958558578
-0.13,0.03,0.2,0.2,0.033219006,1.4648,0.85174,0.0561,-4.660750933,0.34,0.064892673,1.4311,0.31188,-0.0205,4.454229282,0.41,0.050523143,1.3653,0.06816,0.0094,5.449312709
-0.25,-0.13,0.03,0.03,-0.033711952,1.4306,0.09632,-0.0372,1.972629917,0.2,0.033219006,1.4648,0.85174,0.0561,-4.660750933,0.34,0.064892673,1.4311,0.31188,-0.0205,4.454229282
-0.32,-0.25,-0.13,-0.13,-0.117193062,1.3118,-0.16832,0.0477,-9.114820838,0.03,-0.033711952,1.4306,0.09632,-0.0372,1.972629917,0.2,0.033219006,1.4648,0.85174,0.0561,-4.660750933
-0.34,-0.32,-0.25,-0.25,-0.1127849,1.1976,-1.02919,0.0262,-21.23781084,-0.13,-0.117193062,1.3118,-0.16832,0.0477,-9.114820838,0.03,-0.033711952,1.4306,0.09632,-0.0372,1.972629917
-0.32,-0.34,-0.32,-0.32,0.041790677,1.2399,-1.02568,-0.0316,1.68727918,-0.25,-0.1127849,1.1976,-1.02919,0.0262,-21.23781084,-0.13,-0.117193062,1.3118,-0.16832,0.0477,-9.114820838
-0.24,-0.32,-0.34,-0.34,0.125267345,1.3668,0.91408,0.0024,5.520047629,-0.32,0.041790677,1.2399,-1.02568,-0.0316,1.68727918,-0.25,-0.1127849,1.1976,-1.02919,0.0262,-21.23781084
-0.16,-0.24,-0.32,-0.32,0.114370462,1.4828,0.40104,0.0061,-1.17555438,-0.34,0.125267345,1.3668,0.91408,0.0024,5.520047629,-0.32,0.041790677,1.2399,-1.02568,-0.0316,1.68727918
-0.07,-0.16,-0.24,-0.24,0.079390803,1.5634,-0.37491,-0.013,3.490263142,-0.32,0.114370462,1.4828,0.40104,0.0061,-1.17555438,-0.34,0.125267345,1.3668,0.91408,0.0024,5.520047629
0.01,-0.07,-0.16,-0.16,0.03071501,1.5946,-0.53878,-0.0301,-1.159417434,-0.24,0.079390803,1.5634,-0.37491,-0.013,3.490263142,-0.32,0.114370462,1.4828,0.40104,0.0061,-1.17555438
0.04,0.01,-0.07,-0.07,0.035527073,1.6307,-0.3075,0.0412,-0.223699112,-0.16,0.03071501,1.5946,-0.53878,-0.0301,-1.159417434,-0.24,0.079390803,1.5634,-0.37491,-0.013,3.490263142
0,0.04,0.01,0.01,0.03010448,1.6613,0.90838,-0.0374,3.628498788,-0.07,0.035527073,1.6307,-0.3075,0.0412,-0.223699112,-0.16,0.03071501,1.5946,-0.53878,-0.0301,-1.159417434
-0.06,0,0.04,0.04,0.045139735,1.7072,1.59852,0.0094,0.479790876,0.01,0.03010448,1.6613,0.90838,-0.0374,3.628498788,-0.07,0.035527073,1.6307,-0.3075,0.0412,-0.223699112
-0.1,-0.06,0,0,0.084226008,1.7929,0.87063,0.0159,-1.391425894,0.04,0.045139735,1.7072,1.59852,0.0094,0.479790876,0.01,0.03010448,1.6613,0.90838,-0.0374,3.628498788
-0.16,-0.1,-0.06,-0.06,0.045866942,1.8396,0.74605,-0.0037,-3.081083418,0,0.084226008,1.7929,0.87063,0.0159,-1.391425894,0.04,0.045139735,1.7072,1.59852,0.0094,0.479790876
-0.17,-0.16,-0.1,-0.1,-0.013551639,1.8258,-0.14644,-0.0121,3.891878186,-0.06,0.045866942,1.8396,0.74605,-0.0037,-3.081083418,0,0.084226008,1.7929,0.87063,0.0159,-1.391425894
-0.13,-0.17,-0.16,-0.16,-0.038013309,1.7871,0.27428,-0.017,-1.348881217,-0.1,-0.013551639,1.8258,-0.14644,-0.0121,3.891878186,-0.06,0.045866942,1.8396,0.74605,-0.0037,-3.081083418
-0.09,-0.13,-0.17,-0.17,-0.042647109,1.7437,0.83949,0.0151,-2.658219583,-0.16,-0.038013309,1.7871,0.27428,-0.017,-1.348881217,-0.1,-0.013551639,1.8258,-0.14644,-0.0121,3.891878186
-0.02,-0.09,-0.13,-0.13,-0.025361051,1.7179,0.00355,-0.0712,6.895947775,-0.17,-0.042647109,1.7437,0.83949,0.0151,-2.658219583,-0.16,-0.038013309,1.7871,0.27428,-0.017,-1.348881217
0.01,-0.02,-0.09,-0.09,-0.110661209,1.6054,-0.09716,-0.0135,8.110115909,-0.13,-0.025361051,1.7179,0.00355,-0.0712,6.895947775,-0.17,-0.042647109,1.7437,0.83949,0.0151,-2.658219583
0.02,0.01,-0.02,-0.02,-0.171298954,1.4315,-0.00156,-0.0196,1.411042173,-0.09,-0.110661209,1.6054,-0.09716,-0.0135,8.110115909,-0.13,-0.025361051,1.7179,0.00355,-0.0712,6.895947775
0.03,0.02,0.01,0.01,-0.157471491,1.2719,0.12109,-0.0403,-0.405667259,-0.02,-0.171298954,1.4315,-0.00156,-0.0196,1.411042173,-0.09,-0.110661209,1.6054,-0.09716,-0.0135,8.110115909
0.02,0.03,0.02,0.02,-0.083374746,1.1875,0.03856,-0.0022,3.435143018,0.01,-0.157471491,1.2719,0.12109,-0.0403,-0.405667259,-0.02,-0.171298954,1.4315,-0.00156,-0.0196,1.411042173
-0.05,0.02,0.03,0.03,0.003755334,1.1913,0.96038,-0.0143,0.503429401,0.02,-0.083374746,1.1875,0.03856,-0.0022,3.435143018,0.01,-0.157471491,1.2719,0.12109,-0.0403,-0.405667259
-0.1,-0.05,0.02,0.02,0.075077081,1.2673,-0.21936,0.0293,4.633503568,0.03,0.003755334,1.1913,0.96038,-0.0143,0.503429401,0.02,-0.083374746,1.1875,0.03856,-0.0022,3.435143018
-0.15,-0.1,-0.05,-0.05,0.096924099,1.3655,-0.06745,-0.0241,4.767916266,0.02,0.075077081,1.2673,-0.21936,0.0293,4.633503568,0.03,0.003755334,1.1913,0.96038,-0.0143,0.503429401
-0.2,-0.15,-0.1,-0.1,0.108459346,1.4755,0.17645,-0.0437,0.956547051,-0.05,0.096924099,1.3655,-0.06745,-0.0241,4.767916266,0.02,0.075077081,1.2673,-0.21936,0.0293,4.633503568
-0.22,-0.2,-0.15,-0.15,-0.003547717,1.4719,0.99601,0.0115,-7.381233586,-0.1,0.108459346,1.4755,0.17645,-0.0437,0.956547051,-0.05,0.096924099,1.3655,-0.06745,-0.0241,4.767916266
