CLI,CLI_t-1,CLI_t-2,y1,y2,y3,y4,y5,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2
0.41,0.42,0.4,0.195375673,0.057677761,1.2814,-0.18323,-0.0132,-0.042489065,0.052472198,1.223,-0.87799,0.0136,0.316247975,0.032425967,1.1699,-0.20866,0.0857
0.34,0.41,0.42,0.392385772,0.032281073,1.3141,-0.96305,0.0513,0.195375673,0.057677761,1.2814,-0.18323,-0.0132,-0.042489065,0.052472198,1.223,-0.87799,0.0136
0.2,0.34,0.41,0.524840848,0.050523143,1.3653,0.06816,0.0094,0.392385772,0.032281073,1.3141,-0.96305,0.0513,0.195375673,0.057677761,1.2814,-0.18323,-0.0132
0.03,0.2,0.34,-0.255713294,0.064892673,1.4311,0.31188,-0.0205,0.524840848,0.050523143,1.3653,0.06816,0.0094,0.392385772,0.032281073,1.3141,-0.96305,0.0513
-0.13,0.03,0.2,0.259995351,0.033219006,1.4648,0.85174,0.0561,-0.255713294,0.064892673,1.4311,0.31188,-0.0205,0.524840848,0.050523143,1.3653,0.06816,0.0094
-0.25,-0.13,0.03,0.059071424,-0.033711952,1.4306,0.09632,-0.0372,0.259995351,0.033219006,1.4648,0.85174,0.0561,-0.255713294,0.064892673,1.4311,0.31188,-0.0205
-0.32,-0.25,-0.13,0.32541065,-0.117193062,1.3118,-0.16832,0.0477,0.059071424,-0.033711952,1.4306,0.09632,-0.0372,0.259995351,0.033219006,1.4648,0.85174,0.0561
-0.34,-0.32,-0.25,-0.440668337,-0.1127849,1.1976,-1.02919,0.0262,0.32541065,-0.117193062,1.3118,-0.16832,0.0477,0.059071424,-0.033711952,1.4306,0.09632,-0.0372
-0.32,-0.34,-0.32,0.319502422,0.041790677,1.2399,-1.02568,-0.0316,-0.440668337,-0.1127849,1.1976,-1.02919,0.0262,0.32541065,-0.117193062,1.3118,-0.16832,0.0477
-0.24,-0.32,-0.34,0.431084516,0.125267345,1.3668,0.91408,0.0024,0.319502422,0.041790677,1.2399,-1.02568,-0.0316,-0.440668337,-0.1127849,1.1976,-1.02919,0.0262
-0.16,-0.24,-0.32,-1.307830932,0.114370462,1.4828,0.40104,0.0061,0.431084516,0.125267345,1.3668,0.91408,0.0024,0.319502422,0.041790677,1.2399,-1.02568,-0.0316
-0.07,-0.16,-0.24,-0.301956125,0.079390803,1.5634,-0.37491,-0.013,-1.307830932,0.114370462,1.4828,0.40104,0.0061,0.431084516,0.125267345,1.3668,0.91408,0.0024
0.01,-0.07,-0.16,0.194891748,0.03071501,1.5946,-0.53878,-0.0301,-0.301956125,0.079390803,1.5634,-0.37491,-0.013,-1.307830932,0.114370462,1.4828,0.40104,0.0061
