CLI,CLI_t-1,CLI_t-2,y0,y1,y2,y4,y0_t-1,y1_t-1,y2_t-1,y4_t-1,y0_t-2,y1_t-2,y2_t-2,y4_t-2
0.02,0.03,0.02,0.180360838,-0.083374746,1.1875,-0.0022,0.244242093,-0.157471491,1.2719,-0.0403,0.208578638,-0.171298954,1.4315,-0.0196
-0.05,0.02,0.03,0.116479583,0.003755334,1.1913,-0.0143,0.180360838,-0.083374746,1.1875,-0.0022,0.244242093,-0.157471491,1.2719,-0.0403
-0.1,-0.05,0.02,0.052598328,0.075077081,1.2673,0.0293,0.116479583,0.003755334,1.1913,-0.0143,0.180360838,-0.083374746,1.1875,-0.0022
-0.15,-0.1,-0.05,0.020370835,0.096924099,1.3655,-0.0241,0.052598328,0.075077081,1.2673,0.0293,0.116479583,0.003755334,1.1913,-0.0143
-0.2,-0.15,-0.1,-0.011856659,0.108459346,1.4755,-0.0437,0.020370835,0.096924099,1.3655,-0.0241,0.052598328,0.075077081,1.2673,0.0293
-0.22,-0.2,-0.15,-0.044084152,-0.003547717,1.4719,0.0115,-0.011856659,0.108459346,1.4755,-0.0437,0.020370835,0.096924099,1.3655,-0.0241
-0.16,-0.22,-0.2,0.022877697,-0.049286869,1.4219,-0.0368,-0.044084152,-0.003547717,1.4719,0.0115,-0.011856659,0.108459346,1.4755,-0.0437
-0.13,-0.16,-0.22,0.089839545,-0.025244283,1.3963,0.015,0.022877697,-0.049286869,1.4219,-0.0368,-0.044084152,-0.003547717,1.4719,0.0115
-0.11,-0.13,-0.16,0.156801393,-0.018148265,1.3779,-0.0181,0.089839545,-0.025244283,1.3963,0.015,0.022877697,-0.049286869,1.4219,-0.0368
-0.09,-0.11,-0.13,0.245960107,-0.066308616,1.3107,-0.0198,0.156801393,-0.018148265,1.3779,-0.0181,0.089839545,-0.025244283,1.3963,0.015
-0.03,-0.09,-0.11,0.33511882,-0.062105517,1.2478,-0.0394,0.245960107,-0.066308616,1.3107,-0.0198,0.156801393,-0.018148265,1.3779,-0.0181
0.03,-0.03,-0.09,0.424277533,-0.033389015,1.214,0.046,0.33511882,-0.062105517,1.2478,-0.0394,0.245960107,-0.066308616,1.3107,-0.0198
0.05,0.03,-0.03,0.083811797,-0.084707948,1.1283,-0.0189,0.424277533,-0.033389015,1.214,0.046,0.33511882,-0.062105517,1.2478,-0.0394
0.01,0.05,0.03,-0.256653939,-0.123285789,1.0037,0.0055,0.083811797,-0.084707948,1.1283,-0.0189,0.424277533,-0.033389015,1.214,0.046
-0.06,0.01,0.05,-0.597119675,-0.21834903,0.7834,-0.0407,-0.256653939,-0.123285789,1.0037,0.0055,0.083811797,-0.084707948,1.1283,-0.0189
-0.13,-0.06,0.01,-0.419066141,-0.393496588,0.3876,-0.0175,-0.597119675,-0.21834903,0.7834,-0.0407,-0.256653939,-0.123285789,1.0037,0.0055
-0.17,-0.13,-0.06,-0.241012607,-0.432371126,-0.04551,-0.0338,-0.419066141,-0.393496588,0.3876,-0.0175,-0.597119675,-0.21834903,0.7834,-0.0407
-0.18,-0.17,-0.13,-0.062959073,-0.283269563,-0.32825,-0.0281,-0.241012607,-0.432371126,-0.04551,-0.0338,-0.419066141,-0.393496588,0.3876,-0.0175
-0.18,-0.18,-0.17,-0.118247624,-0.068096632,-0.3961,-0.03,-0.062959073,-0.283269563,-0.32825,-0.0281,-0.241012607,-0.432371126,-0.04551,-0.0338
-0.13,-0.18,-0.18,-0.173536176,0.042358846,-0.3539,-0.0383,-0.118247624,-0.068096632,-0.3961,-0.03,-0.062959073,-0.283269563,-0.32825,-0.0281
-0.03,-0.13,-0.18,-0.228824727,0.091772809,-0.26241,-0.0052,-0.173536176,0.042358846,-0.3539,-0.0383,-0.118247624,-0.068096632,-0.3961,-0.03
0.11,-0.03,-0.13,-0.144257642,0.256804722,-0.00595,-0.0995,-0.228824727,0.091772809,-0.26241,-0.0052,-0.173536176,0.042358846,-0.3539,-0.0383
0.23,0.11,-0.03,-0.059690558,0.377558856,0.3723,0.0408,-0.144257642,0.256804722,-0.00595,-0.0995,-0.228824727,0.091772809,-0.26241,-0.0052
0.26,0.23,0.11,0.024876527,0.140278938,0.5132,0.0625,-0.059690558,0.377558856,0.3723,0.0408,-0.144257642,0.256804722,-0.00595,-0.0995
0.28,0.26,0.23,-0.021528574,-0.009153446,0.504,-0.0656,0.024876527,0.140278938,0.5132,0.0625,-0.059690558,0.377558856,0.3723,0.0408
0.27,0.28,0.26,-0.067933674,-0.045381624,0.4584,0.0387,-0.021528574,-0.009153446,0.504,-0.0656,0.024876527,0.140278938,0.5132,0.0625
0.26,0.27,0.28,-0.114338774,-0.062632592,0.3955,0.0192,-0.067933674,-0.045381624,0.4584,0.0387,-0.021528574,-0.009153446,0.504,-0.0656
0.24,0.26,0.27,-0.053481632,-0.044932425,0.3504,0.019,-0.114338774,-0.062632592,0.3955,0.0192,-0.067933674,-0.045381624,0.4584,0.0387
0.16,0.24,0.26,0.00737551,-0.056218864,0.294,0.0629,-0.053481632,-0.044932425,0.3504,0.019,-0.114338774,-0.062632592,0.3955,0.0192
0.06,0.16,0.24,0.068232652,-0.184927701,0.1087,-0.0044,0.00737551,-0.056218864,0.294,0.0629,-0.053481632,-0.044932425,0.3504,0.019
-0.03,0.06,0.16,0.050566327,-0.262459204,-0.1537,0.0267,0.068232652,-0.184927701,0.1087,-0.0044,0.00737551,-0.056218864,0.294,0.0629
-0.05,-0.03,0.06,0.032900003,-0.1904838,-0.34371,-0.0316,0.050566327,-0.262459204,-0.1537,0.0267,0.068232652,-0.184927701,0.1087,-0.0044
-0.03,-0.05,-0.03,0.015233679,-0.057393678,-0.40089,-0.0355,0.032900003,-0.1904838,-0.34371,-0.0316,0.050566327,-0.262459204,-0.1537,0.0267
0.02,-0.03,-0.05,-0.036708423,0.095266704,-0.30596,0.004,0.015233679,-0.057393678,-0.40089,-0.0355,0.032900003,-0.1904838,-0.34371,-0.0316
0.04,0.02,-0.03,-0.088650526,0.164348127,-0.14198,0.0276,-0.036708423,0.095266704,-0.30596,0.004,0.015233679,-0.057393678,-0.40089,-0.0355
0,0.04,0.02,-0.140592629,0.09641046,-0.04566,0.0258,-0.088650526,0.164348127,-0.14198,0.0276,-0.036708423,0.095266704,-0.30596,0.004
-0.13,0,0.04,-0.026201316,0.004772065,-0.04089,0.0809,-0.140592629,0.09641046,-0.04566,0.0258,-0.088650526,0.164348127,-0.14198,0.0276
-0.27,-0.13,0,0.088189996,-0.099780544,-0.14058,-0.0381,-0.026201316,0.004772065,-0.04089,0.0809,-0.140592629,0.09641046,-0.04566,0.0258
-0.36,-0.27,-0.13,0.202581309,-0.195896875,-0.33601,-0.0508,0.088189996,-0.099780544,-0.14058,-0.0381,-0.026201316,0.004772065,-0.04089,0.0809
-0.31,-0.36,-0.27,0.236164676,-0.221237106,-0.55626,-0.071,0.202581309,-0.195896875,-0.33601,-0.0508,0.088189996,-0.099780544,-0.14058,-0.0381
-0.19,-0.31,-0.36,0.269748044,-0.190358951,-0.74538,0.0029,0.236164676,-0.221237106,-0.55626,-0.071,0.202581309,-0.195896875,-0.33601,-0.0508
-0.04,-0.19,-0.31,0.303331412,-0.063644491,-0.80853,0.0593,0.269748044,-0.190358951,-0.74538,0.0029,0.236164676,-0.221237106,-0.55626,-0.071
0.1,-0.04,-0.19,0.254419103,0.129564274,-0.67993,-0.0499,0.303331412,-0.063644491,-0.80853,0.0593,0.269748044,-0.190358951,-0.74538,0.0029
0.18,0.1,-0.04,0.205506793,0.151908215,-0.52894,0.0417,0.254419103,0.129564274,-0.67993,-0.0499,0.303331412,-0.063644491,-0.80853,0.0593
0.21,0.18,0.1,0.156594484,0.070206832,-0.45908,0.0274,0.205506793,0.151908215,-0.52894,0.0417,0.254419103,0.129564274,-0.67993,-0.0499
0.22,0.21,0.18,0.130344585,-0.001255773,-0.46033,0.0408,0.156594484,0.070206832,-0.45908,0.0274,0.205506793,0.151908215,-0.52894,0.0417
0.22,0.22,0.21,0.104094687,-0.008238261,-0.46853,0.0312,0.130344585,-0.001255773,-0.46033,0.0408,0.156594484,0.070206832,-0.45908,0.0274
0.2,0.22,0.22,0.077844788,-0.025733866,-0.49414,0.0458,0.104094687,-0.008238261,-0.46853,0.0312,0.130344585,-0.001255773,-0.46033,0.0408
0.19,0.2,0.22,0.176444116,-0.112800675,-0.60632,0.0175,0.077844788,-0.025733866,-0.49414,0.0458,0.104094687,-0.008238261,-0.46853,0.0312
0.16,0.19,0.2,0.275043444,-0.157236156,-0.76248,-0.0183,0.176444116,-0.112800675,-0.60632,0.0175,0.077844788,-0.025733866,-0.49414,0.0458
0.16,0.16,0.19,0.373642773,-0.127008421,-0.88844,-0.0442,0.275043444,-0.157236156,-0.76248,-0.0183,0.176444116,-0.112800675,-0.60632,0.0175
0.15,0.16,0.16,0.306545862,-0.047876713,-0.93588,0.0721,0.373642773,-0.127008421,-0.88844,-0.0442,0.275043444,-0.157236156,-0.76248,-0.0183
0.11,0.15,0.16,0.239448952,0.022356756,-0.91373,0.0263,0.306545862,-0.047876713,-0.93588,0.0721,0.373642773,-0.127008421,-0.88844,-0.0442
0.05,0.11,0.15,0.172352041,0.094468963,-0.82008,-0.0603,0.239448952,0.022356756,-0.91373,0.0263,0.306545862,-0.047876713,-0.93588,0.0721
0,0.05,0.11,0.242463038,0.176482755,-0.64489,0.0434,0.172352041,0.094468963,-0.82008,-0.0603,0.239448952,0.022356756,-0.91373,0.0263
-0.05,0,0.05,0.312574035,0.308606567,-0.3378,-0.0116,0.242463038,0.176482755,-0.64489,0.0434,0.172352041,0.094468963,-0.82008,-0.0603
-0.09,-0.05,0,0.382685031,0.320620257,-0.01775,0.027,0.312574035,0.308606567,-0.3378,-0.0116,0.242463038,0.176482755,-0.64489,0.0434
-0.15,-0.09,-0.05,0.341754707,0.218549841,0.201,0.0277,0.382685031,0.320620257,-0.01775,0.027,0.312574035,0.308606567,-0.3378,-0.0116
-0.18,-0.15,-0.09,0.300824383,0.146996228,0.3484,-0.0218,0.341754707,0.218549841,0.201,0.0277,0.382685031,0.320620257,-0.01775,0.027
-0.17,-0.18,-0.15,0.259894059,0.153944688,0.503,-0.0208,0.300824383,0.146996228,0.3484,-0.0218,0.341754707,0.218549841,0.201,0.0277
-0.12,-0.17,-0.18,0.309202102,0.155893666,0.6598,0.0575,0.259894059,0.153944688,0.503,-0.0208,0.300824383,0.146996228,0.3484,-0.0218
-0.07,-0.12,-0.17,0.358510144,0.128072389,0.7888,0.0214,0.309202102,0.155893666,0.6598,0.0575,0.259894059,0.153944688,0.503,-0.0208
-0.05,-0.07,-0.12,0.407818186,0.091436602,0.881,-0.0377,0.358510144,0.128072389,0.7888,0.0214,0.309202102,0.155893666,0.6598,0.0575
-0.03,-0.05,-0.07,0.289535309,0.098978567,0.9809,0.0953,0.407818186,0.091436602,0.881,-0.0377,0.358510144,0.128072389,0.7888,0.0214
-0.07,-0.03,-0.05,0.171252433,0.071572079,1.0532,-0.0304,0.289535309,0.098978567,0.9809,0.0953,0.407818186,0.091436602,0.881,-0.0377
-0.09,-0.07,-0.03,0.052969556,0.02434065,1.0778,0.0067,0.171252433,0.071572079,1.0532,-0.0304,0.289535309,0.098978567,0.9809,0.0953
