50.8,1691.9,236142,60124,50.6,1686.4,235579,59864,49.9,1678.3,230640,59683
51.2,1708.8,233649,60363,50.8,1691.9,236142,60124,50.6,1686.4,235579,59864
51.6,1722,234691,60595,51.2,1708.8,233649,60363,50.8,1691.9,236142,60124
52.1,1726.3,238911,60860,51.6,1722,234691,60595,51.2,1708.8,233649,60363
52.3,1735,237557,61085,52.1,1726.3,238911,60860,51.6,1722,234691,60595
52.4,1738.8,237547,61367,52.3,1735,237557,61085,52.1,1726.3,238911,60860
52.9,1759.5,239786,61578,52.4,1738.8,237547,61367,52.3,1735,237557,61085
53.2,1775.6,243138,61882,52.9,1759.5,239786,61578,52.4,1738.8,237547,61367
53.8,1784.3,243988,62230,53.2,1775.6,243138,61882,52.9,1759.5,239786,61578
54.4,1783.1,246684,62386,53.8,1784.3,243988,62230,53.2,1775.6,243138,61882
54.7,1786.1,246953,62720,54.4,1783.1,246684,62386,53.8,1784.3,243988,62230
55.5,1791.1,250964,63087,54.7,1786.1,246953,62720,54.4,1783.1,246684,62386
55.5,1798.7,249027,63317,55.5,1791.1,250964,63087,54.7,1786.1,246953,62720
56.1,1806.6,248149,63560,55.5,1798.7,249027,63317,55.5,1791.1,250964,63087
56.3,1817.4,250815,63978,56.1,1806.6,248149,63560,55.5,1798.7,249027,63317
56.6,1822.9,249321,64185,56.3,1817.4,250815,63978,56.1,1806.6,248149,63560
56.7,1830,250896,64344,56.6,1822.9,249321,64185,56.3,1817.4,250815,63978
57.2,1829.1,250438,64433,56.7,1830,250896,64344,56.6,1822.9,249321,64185
57.6,1841.4,251112,64655,57.2,1829.1,250438,64433,56.7,1830,250896,64344
57.2,1846.5,250109,64854,57.6,1841.4,251112,64655,57.2,1829.1,250438,64433
57.3,1848.4,251214,65076,57.2,1846.5,250109,64854,57.6,1841.4,251112,64655
57.6,1863.9,252621,65215,57.3,1848.4,251214,65076,57.2,1846.5,250109,64854
57,1863.2,252020,65208,57.6,1863.9,252621,65215,57.3,1848.4,251214,65076
56.6,1865.3,253265,65338,57,1863.2,252020,65208,57.6,1863.9,252621,65215
57.2,1864.4,253761,65323,56.6,1865.3,253265,65338,57,1863.2,252020,65208
56.7,1872.1,253796,65478,57.2,1864.4,253761,65323,56.6,1865.3,253265,65338
56.7,1880.5,254250,65654,56.7,1872.1,253796,65478,57.2,1864.4,253761,65323
56.5,1889.2,254249,65831,56.7,1880.5,254250,65654,56.7,1872.1,253796,65478
57.6,1897.1,257298,65964,56.5,1889.2,254249,65831,56.7,1880.5,254250,65654
57.5,1893.7,256699,66089,57.6,1897.1,257298,65964,56.5,1889.2,254249,65831
58,1897.8,254730,66111,57.5,1893.7,256699,66089,57.6,1897.1,257298,65964
58.8,1909.1,261763,66591,58,1897.8,254730,66111,57.5,1893.7,256699,66089
59.5,1923.2,267141,66776,58.8,1909.1,261763,66591,58,1897.8,254730,66111
59.4,1922.1,265864,66606,59.5,1923.2,267141,66776,58.8,1909.1,261763,66591
59.6,1937.9,264932,67029,59.4,1922.1,265864,66606,59.5,1923.2,267141,66776
59.8,1941,267361,67132,59.6,1937.9,264932,67029,59.4,1922.1,265864,66606
59.9,1948.3,267119,67417,59.8,1941,267361,67132,59.6,1937.9,264932,67029
60.6,1961.7,268528,67495,59.9,1948.3,267119,67417,59.8,1941,267361,67132
60.8,1971.6,271129,67783,60.6,1961.7,268528,67495,59.9,1948.3,267119,67417
60.7,1982.3,274384,68003,60.8,1971.6,271129,67783,60.6,1961.7,268528,67495
60.9,1984.5,270066,68219,60.7,1982.3,274384,68003,60.8,1971.6,271129,67783
61.1,2000.3,271294,68365,60.9,1984.5,270066,68219,60.7,1982.3,274384,68003
61.2,2002.1,275450,68603,61.1,2000.3,271294,68365,60.9,1984.5,270066,68219
62,2011.4,277670,68855,61.2,2002.1,275450,68603,61.1,2000.3,271294,68365
62.2,2022.2,275368,69161,62,2011.4,277670,68855,61.2,2002.1,275450,68603
62.6,2020.1,275855,69272,62.2,2022.2,275368,69161,62,2011.4,277670,68855
63,2025.1,276373,69542,62.6,2020.1,275855,69272,62.2,2022.2,275368,69161
63.5,2037.2,277968,69791,63,2025.1,276373,69542,62.6,2020.1,275855,69272
63.2,2040.2,279301,69948,63.5,2037.2,277968,69791,63,2025.1,276373,69542
63,2051,278781,70180,63.2,2040.2,279301,69948,63.5,2037.2,277968,69791
63.6,2056,278746,70498,63,2051,278781,70180,63.2,2040.2,279301,69948
63.9,2074.2,280072,70668,63.6,2056,278746,70498,63,2051,278781,70180
64.1,2079.9,281564,70799,63.9,2074.2,280072,70668,63.6,2056,278746,70498
64.1,2086.9,283152,70833,64.1,2079.9,281564,70799,63.9,2074.2,280072,70668
64.1,2093,285865,70993,64.1,2086.9,283152,70833,64.1,2079.9,281564,70799
63.5,2098.3,282135,70941,64.1,2093,285865,70993,64.1,2086.9,283152,70833
63.3,2097.4,281792,71127,63.5,2098.3,282135,70941,64.1,2093,285865,70993
62.1,2092,279400,71018,63.3,2097.4,281792,71127,63.5,2098.3,282135,70941
62.1,2087.2,279282,71165,62.1,2092,279400,71018,63.3,2097.4,281792,71127
62,2090.6,276126,71347,62.1,2087.2,279282,71165,62.1,2092,279400,71018
61.9,2098.3,274134,71251,62,2090.6,276126,71347,62.1,2087.2,279282,71165
61.8,2093,277364,70993,61.9,2098.3,274134,71251,62,2090.6,276126,71347
61.6,2087.6,278207,70905,61.8,2093,277364,70993,61.9,2098.3,274134,71251
61.7,2096.6,278441,70969,61.6,2087.6,278207,70905,61.8,2093,277364,70993
61.6,2101.7,277112,70789,61.7,2096.6,278441,70969,61.6,2087.6,278207,70905
61.2,2101.1,276793,70857,61.6,2101.7,277112,70789,61.7,2096.6,278441,70969
60,2091.7,272273,70416,61.2,2101.1,276793,70857,61.6,2101.7,277112,70789
59.6,2091.7,267731,70296,60,2091.7,272273,70416,61.2,2101.1,276793,70857
61,2093.1,276499,70666,59.6,2091.7,267731,70296,60,2091.7,272273,70416
61.5,2104.6,279715,70718,61,2093.1,276499,70666,59.6,2091.7,267731,70296
61.3,2103.8,281661,70657,61.5,2104.6,279715,70718,61,2093.1,276499,70666
61.3,2105.4,282908,70746,61.3,2103.8,281661,70657,61.5,2104.6,279715,70718
61.6,2107,284258,70936,61.3,2105.4,282908,70746,61.3,2103.8,281661,70657
61.9,2116.7,286259,71129,61.6,2107,284258,70936,61.3,2105.4,282908,70746
62.2,2114.4,289727,71163,61.9,2116.7,286259,71129,61.6,2107,284258,70936
62,2117.3,288174,71219,62.2,2114.4,289727,71163,61.9,2116.7,286259,71129
61.7,2130.3,286277,71220,62,2117.3,288174,71219,62.2,2114.4,289727,71163
62.7,2130.2,289563,71527,61.7,2130.3,286277,71220,62,2117.3,288174,71219
63.1,2134.9,290422,71532,62.7,2130.2,289563,71527,61.7,2130.3,286277,71220
63.4,2147.2,295093,71734,63.1,2134.9,290422,71532,62.7,2130.2,289563,71527
64.1,2166.6,297156,71996,63.4,2147.2,295093,71734,63.1,2134.9,290422,71532
65.6,2177.2,300201,72303,64.1,2166.6,297156,71996,63.4,2147.2,295093,71734
66,2188.3,297396,72525,65.6,2177.2,300201,72303,64.1,2166.6,297156,71996
