CLI,CLI_t-1,CLI_t-2,y1,y2,y3,y4,y5,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2
0.21,0.18,0.1,0.209262934,0.070206832,-0.45908,-0.24769,0.0274,0.17600148,0.151908215,-0.52894,-0.03579,0.0417,0.0417,0.129564274,-0.67993,-1.12636,-0.0499
0.22,0.21,0.18,0.217020639,-0.001255773,-0.46033,-0.75277,0.0408,0.209262934,0.070206832,-0.45908,-0.24769,0.0274,0.0274,0.151908215,-0.52894,-0.03579,0.0417
0.22,0.22,0.21,0.216666115,-0.008238261,-0.46853,-0.19893,0.0312,0.217020639,-0.001255773,-0.46033,-0.75277,0.0408,0.0408,0.070206832,-0.45908,-0.24769,0.0274
0.2,0.22,0.22,0.203424971,-0.025733866,-0.49414,-0.00814,0.0458,0.216666115,-0.008238261,-0.46853,-0.19893,0.0312,0.0312,-0.001255773,-0.46033,-0.75277,0.0408
0.19,0.2,0.22,0.190430519,-0.112800675,-0.60632,0.02048,0.0175,0.203424971,-0.025733866,-0.49414,-0.00814,0.0458,0.0458,-0.008238261,-0.46853,-0.19893,0.0312
0.16,0.19,0.2,0.157374974,-0.157236156,-0.76248,-0.09257,-0.0183,0.190430519,-0.112800675,-0.60632,0.02048,0.0175,0.0175,-0.025733866,-0.49414,-0.00814,0.0458
0.16,0.16,0.19,0.161389373,-0.127008421,-0.88844,0.05185,-0.0442,0.157374974,-0.157236156,-0.76248,-0.09257,-0.0183,-0.0183,-0.112800675,-0.60632,0.02048,0.0175
0.15,0.16,0.16,0.140146094,-0.047876713,-0.93588,-0.08949,0.0721,0.161389373,-0.127008421,-0.88844,0.05185,-0.0442,-0.0442,-0.157236156,-0.76248,-0.09257,-0.0183
0.11,0.15,0.16,0.109520707,0.022356756,-0.91373,0.04581,0.0263,0.140146094,-0.047876713,-0.93588,-0.08949,0.0721,0.0721,-0.127008421,-0.88844,0.05185,-0.0442
0.05,0.11,0.15,0.044650518,0.094468963,-0.82008,-0.14625,-0.0603,0.109520707,0.022356756,-0.91373,0.04581,0.0263,0.0263,-0.047876713,-0.93588,-0.08949,0.0721
0,0.05,0.11,0.000723212,0.176482755,-0.64489,-0.20602,0.0434,0.044650518,0.094468963,-0.82008,-0.14625,-0.0603,-0.0603,0.022356756,-0.91373,0.04581,0.0263
-0.05,0,0.05,-0.060824814,0.308606567,-0.3378,-0.22479,-0.0116,0.000723212,0.176482755,-0.64489,-0.20602,0.0434,0.0434,0.094468963,-0.82008,-0.14625,-0.0603
-0.09,-0.05,0,-0.095915352,0.320620257,-0.01775,0.06064,0.027,-0.060824814,0.308606567,-0.3378,-0.22479,-0.0116,-0.0116,0.176482755,-0.64489,-0.20602,0.0434
-0.15,-0.09,-0.05,-0.148305315,0.218549841,0.201,-0.18017,0.0277,-0.095915352,0.320620257,-0.01775,0.06064,0.027,0.027,0.308606567,-0.3378,-0.22479,-0.0116
-0.18,-0.15,-0.09,-0.170662526,0.146996228,0.3484,-0.0357,-0.0218,-0.148305315,0.218549841,0.201,-0.18017,0.0277,0.0277,0.320620257,-0.01775,0.06064,0.027
-0.17,-0.18,-0.15,-0.166091814,0.153944688,0.503,0.06223,-0.0208,-0.170662526,0.146996228,0.3484,-0.0357,-0.0218,-0.0218,0.218549841,0.201,-0.18017,0.0277
-0.12,-0.17,-0.18,-0.117779857,0.155893666,0.6598,-0.06254,0.0575,-0.166091814,0.153944688,0.503,0.06223,-0.0208,-0.0208,0.146996228,0.3484,-0.0357,-0.0218
-0.07,-0.12,-0.17,-0.064125331,0.128072389,0.7888,-0.03941,0.0214,-0.117779857,0.155893666,0.6598,-0.06254,0.0575,0.0575,0.153944688,0.503,0.06223,-0.0208
-0.05,-0.07,-0.12,-0.053144264,0.091436602,0.881,0.07851,-0.0377,-0.064125331,0.128072389,0.7888,-0.03941,0.0214,0.0214,0.155893666,0.6598,-0.06254,0.0575
-0.03,-0.05,-0.07,-0.037789964,0.098978567,0.9809,0.31108,0.0953,-0.053144264,0.091436602,0.881,0.07851,-0.0377,-0.0377,0.128072389,0.7888,-0.03941,0.0214
-0.07,-0.03,-0.05,-0.065797047,0.071572079,1.0532,0.19066,-0.0304,-0.037789964,0.098978567,0.9809,0.31108,0.0953,0.0953,0.091436602,0.881,0.07851,-0.0377
-0.09,-0.07,-0.03,-0.087225725,0.02434065,1.0778,0.20659,0.0067,-0.065797047,0.071572079,1.0532,0.19066,-0.0304,-0.0304,0.098978567,0.9809,0.31108,0.0953
-0.11,-0.09,-0.07,-0.112192912,-0.018700216,1.0589,0.15066,0.0201,-0.087225725,0.02434065,1.0778,0.20659,0.0067,0.0067,0.071572079,1.0532,0.19066,-0.0304
-0.11,-0.11,-0.09,-0.106747777,-0.028205353,1.0304,0.30149,0.0217,-0.112192912,-0.018700216,1.0589,0.15066,0.0201,0.0201,0.02434065,1.0778,0.20659,0.0067
-0.07,-0.11,-0.11,-0.070092241,-0.047323688,0.9826,0.21093,-0.0233,-0.106747777,-0.028205353,1.0304,0.30149,0.0217,0.0217,-0.018700216,1.0589,0.15066,0.0201
-0.03,-0.07,-0.11,-0.031286745,-0.124256976,0.8572,0.16613,0.0412,-0.070092241,-0.047323688,0.9826,0.21093,-0.0233,-0.0233,-0.028205353,1.0304,0.30149,0.0217
0,-0.03,-0.07,-0.001450814,-0.136622954,0.7195,-0.07837,-0.0249,-0.031286745,-0.124256976,0.8572,0.16613,0.0412,0.0412,-0.047323688,0.9826,0.21093,-0.0233
0.03,0,-0.03,0.023495274,-0.04230463,0.6769,0.01079,-0.0374,-0.001450814,-0.136622954,0.7195,-0.07837,-0.0249,-0.0249,-0.124256976,0.8572,0.16613,0.0412
0.07,0.03,0,0.065313434,0.023140665,0.7002,0.03983,0.0442,0.023495274,-0.04230463,0.6769,0.01079,-0.0374,-0.0374,-0.136622954,0.7195,-0.07837,-0.0249
0.07,0.07,0.03,0.06679494,0.096576792,0.7975,-0.06132,-0.0588,0.065313434,0.023140665,0.7002,0.03983,0.0442,0.0442,-0.04230463,0.6769,0.01079,-0.0374
0.06,0.07,0.07,0.056273108,0.068827223,0.8669,0.16202,-0.038,0.06679494,0.096576792,0.7975,-0.06132,-0.0588,-0.0588,0.023140665,0.7002,0.03983,0.0442
0.04,0.06,0.07,0.037059205,-0.021515814,0.8452,-0.00118,0.0254,0.056273108,0.068827223,0.8669,0.16202,-0.038,-0.038,0.096576792,0.7975,-0.06132,-0.0588
0.01,0.04,0.06,0.007738382,-0.131972351,0.7122,-0.08029,-0.0238,0.037059205,-0.021515814,0.8452,-0.00118,0.0254,0.0254,0.068827223,0.8669,0.16202,-0.038
-0.01,0.01,0.04,-0.00988344,-0.11534548,0.5961,0.02244,-0.0196,0.007738382,-0.131972351,0.7122,-0.08029,-0.0238,-0.0238,-0.021515814,0.8452,-0.00118,0.0254
-0.03,-0.01,0.01,-0.032289355,-0.077866327,0.5178,-0.09695,-0.0232,-0.00988344,-0.11534548,0.5961,0.02244,-0.0196,-0.0196,-0.131972351,0.7122,-0.08029,-0.0238
-0.01,-0.03,-0.01,-0.013206728,-0.024078236,0.4936,-0.17103,-0.0484,-0.032289355,-0.077866327,0.5178,-0.09695,-0.0232,-0.0232,-0.11534548,0.5961,0.02244,-0.0196
0,-0.01,-0.03,-0.00308225,0.00218917,0.4958,-0.10267,0.0464,-0.013206728,-0.024078236,0.4936,-0.17103,-0.0484,-0.0484,-0.077866327,0.5178,-0.09695,-0.0232
0.02,0,-0.01,0.019040833,0.037805378,0.5338,-0.20164,-0.0085,-0.00308225,0.00218917,0.4958,-0.10267,0.0464,0.0464,-0.024078236,0.4936,-0.17103,-0.0484
0.02,0.02,0,0.02180912,0.08163075,0.6159,-0.10566,-0.008,0.019040833,0.037805378,0.5338,-0.20164,-0.0085,-0.0085,0.00218917,0.4958,-0.10267,0.0464
0.02,0.02,0.02,0.015726183,0.027824732,0.6439,-0.05536,-0.0209,0.02180912,0.08163075,0.6159,-0.10566,-0.008,-0.008,0.037805378,0.5338,-0.20164,-0.0085
-0.02,0.02,0.02,-0.018509919,-0.00685609,0.637,0.03199,-0.0255,0.015726183,0.027824732,0.6439,-0.05536,-0.0209,-0.0209,0.08163075,0.6159,-0.10566,-0.008
-0.01,-0.02,0.02,-0.008918447,0.02344787,0.6606,-0.18174,0.0341,-0.018509919,-0.00685609,0.637,0.03199,-0.0255,-0.0255,0.027824732,0.6439,-0.05536,-0.0209
-0.01,-0.01,-0.02,-0.008803295,0.03814072,0.699,-0.1131,0.0184,-0.008918447,0.02344787,0.6606,-0.18174,0.0341,0.0341,-0.00685609,0.637,0.03199,-0.0255
0.03,-0.01,-0.01,0.023951262,0.041997555,0.7413,0.0148,0.0288,-0.008803295,0.03814072,0.699,-0.1131,0.0184,0.0184,0.02344787,0.6606,-0.18174,0.0341
0.04,0.03,-0.01,0.036297587,0.020049349,0.7615,0.02718,0.0161,0.023951262,0.041997555,0.7413,0.0148,0.0288,0.0288,0.03814072,0.699,-0.1131,0.0184
0.05,0.04,0.03,0.046015205,0.005259807,0.7668,0.15588,0.0174,0.036297587,0.020049349,0.7615,0.02718,0.0161,0.0161,0.041997555,0.7413,0.0148,0.0288
0.05,0.05,0.04,0.052132312,-0.014589202,0.7521,0.36626,0.0302,0.046015205,0.005259807,0.7668,0.15588,0.0174,0.0174,0.020049349,0.7615,0.02718,0.0161
0.05,0.05,0.05,0.047088599,-0.029085509,0.7228,0.04585,-0.0751,0.052132312,-0.014589202,0.7521,0.36626,0.0302,0.0302,0.005259807,0.7668,0.15588,0.0174
0.08,0.05,0.05,0.074832355,0.02581009,0.7488,-0.01673,0.006,0.047088599,-0.029085509,0.7228,0.04585,-0.0751,-0.0751,-0.014589202,0.7521,0.36626,0.0302
0.1,0.08,0.05,0.093898217,0.083340945,0.8328,-0.12643,-0.0015,0.074832355,0.02581009,0.7488,-0.01673,0.006,0.006,-0.029085509,0.7228,0.04585,-0.0751
0.11,0.1,0.08,0.108717576,0.112499275,0.9463,0.01565,0.0389,0.093898217,0.083340945,0.8328,-0.12643,-0.0015,-0.0015,0.02581009,0.7488,-0.01673,0.006
0.12,0.11,0.1,0.121428034,0.144427944,1.0922,0.15024,-0.0143,0.108717576,0.112499275,0.9463,0.01565,0.0389,0.0389,0.083340945,0.8328,-0.12643,-0.0015
0.1,0.12,0.11,0.088015245,0.164861921,1.259,0.07777,-0.0287,0.121428034,0.144427944,1.0922,0.15024,-0.0143,-0.0143,0.112499275,0.9463,0.01565,0.0389
0.08,0.1,0.12,0.079034453,0.150983643,1.412,0.13248,-0.0129,0.088015245,0.164861921,1.259,0.07777,-0.0287,-0.0287,0.144427944,1.0922,0.15024,-0.0143
0.07,0.08,0.1,0.063065326,0.102597924,1.5161,0.37682,0.0514,0.079034453,0.150983643,1.412,0.13248,-0.0129,-0.0129,0.164861921,1.259,0.07777,-0.0287
0.08,0.07,0.08,0.076465328,0.025411459,1.5419,0.20205,-0.021,0.063065326,0.102597924,1.5161,0.37682,0.0514,0.0514,0.150983643,1.412,0.13248,-0.0129
