CLI,CLI_t-1,CLI_t-2,y1,y1_t-1,y1_t-2,y2,y2_t-1,y2_t-2,y3,y3_t-1,y3_t-2,y4,y4_t-1,y4_t-2,y5,y5_t-1,y5_t-2
-0.17,-0.16,-0.1,-0.013551639,0.045866942,0.084226008,1.8258,1.8396,1.7929,-0.14644,0.74605,0.87063,-0.0121,-0.0037,0.0159,0.038918782,-0.030810834,-0.013914259
-0.13,-0.17,-0.16,-0.038013309,-0.013551639,0.045866942,1.7871,1.8258,1.8396,0.27428,-0.14644,0.74605,-0.017,-0.0121,-0.0037,-0.013488812,0.038918782,-0.030810834
-0.09,-0.13,-0.17,-0.042647109,-0.038013309,-0.013551639,1.7437,1.7871,1.8258,0.83949,0.27428,-0.14644,0.0151,-0.017,-0.0121,-0.026582196,-0.013488812,0.038918782
-0.02,-0.09,-0.13,-0.025361051,-0.042647109,-0.038013309,1.7179,1.7437,1.7871,0.00355,0.83949,0.27428,-0.0712,0.0151,-0.017,0.068959478,-0.026582196,-0.013488812
0.01,-0.02,-0.09,-0.110661209,-0.025361051,-0.042647109,1.6054,1.7179,1.7437,-0.09716,0.00355,0.83949,-0.0135,-0.0712,0.0151,0.081101159,0.068959478,-0.026582196
0.02,0.01,-0.02,-0.171298954,-0.110661209,-0.025361051,1.4315,1.6054,1.7179,-0.00156,-0.09716,0.00355,-0.0196,-0.0135,-0.0712,0.014110422,0.081101159,0.068959478
0.03,0.02,0.01,-0.157471491,-0.171298954,-0.110661209,1.2719,1.4315,1.6054,0.12109,-0.00156,-0.09716,-0.0403,-0.0196,-0.0135,-0.004056673,0.014110422,0.081101159
0.02,0.03,0.02,-0.083374746,-0.157471491,-0.171298954,1.1875,1.2719,1.4315,0.03856,0.12109,-0.00156,-0.0022,-0.0403,-0.0196,0.03435143,-0.004056673,0.014110422
-0.05,0.02,0.03,0.003755334,-0.083374746,-0.157471491,1.1913,1.1875,1.2719,0.96038,0.03856,0.12109,-0.0143,-0.0022,-0.0403,0.005034294,0.03435143,-0.004056673
-0.1,-0.05,0.02,0.075077081,0.003755334,-0.083374746,1.2673,1.1913,1.1875,-0.21936,0.96038,0.03856,0.0293,-0.0143,-0.0022,0.046335036,0.005034294,0.03435143
-0.15,-0.1,-0.05,0.096924099,0.075077081,0.003755334,1.3655,1.2673,1.1913,-0.06745,-0.21936,0.96038,-0.0241,0.0293,-0.0143,0.047679163,0.046335036,0.005034294
-0.2,-0.15,-0.1,0.108459346,0.096924099,0.075077081,1.4755,1.3655,1.2673,0.17645,-0.06745,-0.21936,-0.0437,-0.0241,0.0293,0.009565471,0.047679163,0.046335036
-0.22,-0.2,-0.15,-0.003547717,0.108459346,0.096924099,1.4719,1.4755,1.3655,0.99601,0.17645,-0.06745,0.0115,-0.0437,-0.0241,-0.073812336,0.009565471,0.047679163
-0.16,-0.22,-0.2,-0.049286869,-0.003547717,0.108459346,1.4219,1.4719,1.4755,0.08594,0.99601,0.17645,-0.0368,0.0115,-0.0437,0.002040414,-0.073812336,0.009565471
-0.13,-0.16,-0.22,-0.025244283,-0.049286869,-0.003547717,1.3963,1.4219,1.4719,-0.00233,0.08594,0.99601,0.015,-0.0368,0.0115,0.069371253,0.002040414,-0.073812336
